    0.00000000  -12.84825512
         0.02088826  -12.84400904
         0.04177652  -12.83097620
         0.06266477  -12.80909622
         0.08355303  -12.77835563
         0.10444129  -12.73874456
         0.12532955  -12.69056859
         0.14621781  -12.63376823
         0.16710606  -12.56841412
         0.18799432  -12.49482197
         0.20888258  -12.41302688
         0.22977084  -12.32304998
         0.25065910  -12.22522088
         0.27154735  -12.11994195
         0.29243561  -12.00703721
         0.31332387  -11.88706765
         0.33421213  -11.76014741
         0.35510038  -11.62672192
         0.37598864  -11.48750066
         0.39687690  -11.34231810
         0.41776516  -11.19204513
         0.43865342  -11.03720559
         0.45954167  -10.87868796
         0.48042993  -10.71727933
         0.50131819  -10.55374149
         0.52220645  -10.38913405
         0.54309471  -10.22522990
         0.56398296  -10.06350081
         0.58487122   -9.90571690
         0.60575948   -9.75430255
         0.62664774   -9.61248129
         0.64753600   -9.48279976
         0.66842425   -9.36886233
         0.68931251   -9.27489421
         0.71020077   -9.20409697
         0.73108903   -9.16032632
         0.75197729   -9.14541265
         0.77265109   -9.14311506
         0.79332490   -9.13587247
         0.81399871   -9.12390603
         0.83467251   -9.10774129
         0.85534632   -9.08708467
         0.87602013   -9.06238468
         0.89669393   -9.03373143
         0.91736774   -9.00164528
         0.93804155   -8.96606480
         0.95871535   -8.92823640
         0.97938916   -8.88800828
         1.00006297   -8.84664179
         1.02073678   -8.80442334
         1.04141058   -8.76216648
         1.06208439   -8.72127966
         1.08275820   -8.68257771
         1.10343200   -8.64718141
         1.12410581   -8.61724843
         1.14477962   -8.59364069
         1.16545342   -8.57801346
         1.18612723   -8.57251669
         1.20680135   -8.57864291
         1.22747547   -8.59795501
         1.24814958   -8.63198161
         1.26882370   -8.68152927
         1.28949782   -8.74748862
         1.31017193   -8.82950702
         1.33084605   -8.92682350
         1.35152017   -9.03834810
         1.37219429   -9.16316143
         1.39286840   -9.29909836
         1.41354252   -9.44439718
         1.43421664   -9.59742345
         1.45489075   -9.75641183
         1.47556487   -9.91961448
         1.49623899  -10.08514174
         1.51691310  -10.25213117
         1.53758722  -10.41932848
         1.55826134  -10.58506262
         1.57893546  -10.74902858
         1.59960957  -10.91003348
         1.62028369  -11.06755271
         1.64095781  -11.22076067
         1.66163192  -11.36907115
         1.68230604  -11.51205414
         1.70298016  -11.64945333
         1.72365428  -11.78048024
         1.74432839  -11.90529565
         1.76500251  -12.02311366
         1.78567663  -12.13408402
         1.80635074  -12.23737284
         1.82702486  -12.33332570
         1.84769898  -12.42159379
         1.86837310  -12.50175877
         1.88904721  -12.57390676
         1.90972133  -12.63799123
         1.93039545  -12.69351968
         1.95106956  -12.74087026
         1.97174368  -12.77957184
         1.99241780  -12.80979823
         2.01309191  -12.83132316
         2.03376603  -12.84405561
         2.05444015  -12.84825512
        
    0.00000000   -9.29015874
         0.02088826   -9.28389847
         0.04177652   -9.26512713
         0.06266477   -9.23387881
         0.08355303   -9.19021153
         0.10444129   -9.13420805
         0.12532955   -9.06597939
         0.14621781   -8.98566415
         0.16710606   -8.89343281
         0.18799432   -8.78949324
         0.20888258   -8.67409273
         0.22977084   -8.54752343
         0.25065910   -8.41013852
         0.27154735   -8.26235585
         0.29243561   -8.10466769
         0.31332387   -7.93767034
         0.33421213   -7.76207662
         0.35510038   -7.57875253
         0.37598864   -7.38875901
         0.39687690   -7.19340076
         0.41776516   -6.99432616
         0.43865342   -6.79365675
         0.45954167   -6.59423749
         0.48042993   -6.40011364
         0.50131819   -6.21763945
         0.52220645   -6.05735401
         0.54309471   -5.93412646
         0.56398296   -5.85827378
         0.58487122   -5.82609016
         0.60575948   -5.82571201
         0.62664774   -5.84553415
         0.64753600   -5.87656264
         0.66842425   -5.91196180
         0.68931251   -5.94621163
         0.71020077   -5.97457834
         0.73108903   -5.99329067
         0.75197729   -5.99983382
         0.77265109   -5.99727815
         0.79332490   -5.98964056
         0.81399871   -5.97696945
         0.83467251   -5.95934884
         0.85534632   -5.93688660
         0.87602013   -5.90974107
         0.89669393   -5.87806373
         0.91736774   -5.84207402
         0.93804155   -5.80197690
         0.95871535   -5.75806818
         0.97938916   -5.71060803
         1.00006297   -5.65991919
         1.02073678   -5.60631139
         1.04141058   -5.55013554
         1.06208439   -5.49175076
         1.08275820   -5.43156534
         1.10343200   -5.36996022
         1.12410581   -5.30742518
         1.14477962   -5.24460568
         1.16545342   -5.18314618
         1.18612723   -5.14060629
         1.20680135   -5.18152242
         1.22747547   -5.23761507
         1.24814958   -5.29044611
         1.26882370   -5.33769978
         1.28949782   -5.37845301
         1.31017193   -5.41229781
         1.33084605   -5.43946443
         1.35152017   -5.46072922
         1.37219429   -5.47754134
         1.39286840   -5.49186374
         1.41354252   -5.50661228
         1.43421664   -5.52602743
         1.45489075   -5.55663400
         1.47556487   -5.60852408
         1.49623899   -5.69533705
         1.51691310   -5.82693046
         1.53758722   -5.99744840
         1.55826134   -6.19088510
         1.57893546   -6.39504239
         1.59960957   -6.60319194
         1.62028369   -6.81150608
         1.64095781   -7.01749127
         1.66163192   -7.21934642
         1.68230604   -7.41568390
         1.70298016   -7.60538943
         1.72365428   -7.78754308
         1.74432839   -7.96138306
         1.76500251   -8.12625870
         1.78567663   -8.28162276
         1.80635074   -8.42700073
         1.82702486   -8.56199174
         1.84769898   -8.68624757
         1.86837310   -8.79946574
         1.88904721   -8.90139164
         1.90972133   -8.99180539
         1.93039545   -9.07051685
         1.95106956   -9.13737386
         1.97174368   -9.19224346
         1.99241780   -9.23502467
         2.01309191   -9.26563743
         2.03376603   -9.28402591
